METATRYP_taxa_name,genome_name,ncbi_id,img_genome_id,tax_domain,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species
Aciduliprofundum_boonei_T469,Aciduliprofundum boonei T469,439481,646564501,Bacteria,Euryarchaeota,Unclassified Euryarchaeota,Unclassified Euryarchaeota,Unclassified Euryarchaeota,Aciduliprofundum,Aciduliprofundum boonei
Alcanivorax_sp_DG881,Alcanivorax sp. DG881,236097,647533109,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Unclassified Alcanivorax
Algoriphagus_machipongonensis_PR1,Algoriphagus machipongonensis PR1,388413,640612202,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Unclassified Algoriphagus
Alphaproteobacteria_sp_SAR11_HIMB5,Alphaproteobacteria sp. SAR11 HIMB5,28211,2503982040,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria
Alteromonas_australica_H17,Alteromonas australica H17,589873,2585427644,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_macleodii_Black_Sea_11,Alteromonas macleodii Black Sea 11,1004785,2521172684,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
Alteromonas_macleodii_D7,Alteromonas macleodii D7,28108,2684623206,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_macleodii_DE,Alteromonas macleodii DE,1774373,642555105,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea
Alteromonas_macleodii_HOT1A3,Alteromonas macleodii HOT1A3,28108,2687453488,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_macleodii_MIT1002,Alteromonas macleodii MIT1002,28108,2645727836,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_macleodii_REDSEA-S09_B2,Alteromonas macleodii REDSEA-S09_B2,28108,2651870151,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_macleodii_REDSEA-S12_B5,Alteromonas macleodii REDSEA-S12_B5,28108,2651870153,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
